presion,temperatura,humedad,PM25,PM10,CO,CH4,CO2,O3
755,17.98,58,7.4,7.4,172.2,30.7,331.0,8.9
755,18.32,57,31.3,31.5,161.4,32.3,323.0,8.9
755,18.41,57,4.4,4.4,152.8,33.4,306.0,8.8
755,18.71,57,4.9,4.9,239.2,26.4,322.0,10.5
755,18.89,55,11.2,11.2,175.8,30.6,320.0,9.0
755,18.87,55,2.0,2.1,150.9,33.1,309.0,8.3
755,19.24,56,4.1,4.1,153.1,30.9,312.0,8.3
755,19.14,56,2.5,2.5,165.7,30.5,315.0,8.7
754,19.89,55,1.8,1.8,166.1,29.0,311.0,8.7
754,20.86,51,3.2,3.3,151.5,32.0,331.0,8.3
754,21.35,49,6.6,6.6,155.1,31.7,312.0,8.4
754,22.22,47,4.3,4.3,166.2,31.0,313.0,8.8
754,21.74,45,5.0,5.4,149.4,34.9,310.0,8.7
754,21.34,49,3.7,3.7,172.4,30.5,315.0,9.0
754,21.81,48,6.7,6.7,176.2,30.3,308.0,9.1
754,22.93,43,4.0,4.1,176.0,27.6,301.0,9.1
754,23.72,44,3.9,4.0,187.0,29.7,328.0,9.4
754,22.05,46,3.6,3.6,175.0,32.4,376.0,9.2
754,22.34,46,4.6,4.6,161.7,32.4,328.0,8.7
753,22.95,43,14.4,14.5,163.7,31.7,327.0,8.8
753,23.70,40,1.4,1.4,145.3,34.2,326.0,8.3
753,23.94,41,2.9,2.9,168.4,30.4,319.0,8.9
753,24.09,40,1.2,1.2,162.5,30.8,327.0,8.8
753,24.24,40,6.1,6.1,189.4,28.8,322.0,9.9
753,23.07,43,2.4,2.4,145.7,34.2,332.0,8.2
753,23.45,42,2.5,2.5,148.3,33.6,313.0,8.3
753,23.70,41,2.2,2.2,149.9,33.3,331.0,8.3
753,23.19,42,1.9,1.9,137.7,35.5,315.0,7.8
753,22.61,43,5.4,5.5,172.1,29.7,333.0,9.0
753,21.43,45,4.8,4.9,156.2,33.6,342.0,8.5
753,22.14,44,2.4,2.4,153.0,32.7,325.0,8.5
753,21.58,44,4.3,4.3,146.7,34.6,302.0,8.3
753,20.69,46,1.3,1.3,140.3,37.3,308.0,7.7
753,20.78,46,1.4,1.4,159.4,31.9,314.0,8.9
753,19.98,48,9.5,9.5,149.3,33.8,339.0,8.4
753,20.34,47,7.8,7.8,160.3,32.9,324.0,8.7
753,19.20,48,5.4,5.5,171.8,31.7,322.0,9.0
754,18.94,49,4.8,4.9,163.3,32.6,323.0,8.7
754,18.86,50,2.9,2.9,154.1,33.2,343.0,8.5
754,18.22,51,1.8,1.8,166.9,32.4,298.0,8.9
754,17.97,52,4.6,4.7,150.6,34.9,332.0,8.3
754,17.58,52,1.5,1.5,162.1,33.5,323.0,8.5
754,17.75,52,4.2,4.3,150.0,34.3,324.0,8.3
754,17.42,52,1.7,1.7,167.6,32.1,309.0,8.9
754,17.23,53,20.4,20.6,138.7,36.5,316.0,7.9
754,16.98,53,4.4,4.4,153.0,34.9,328.0,8.5
754,16.99,54,1.7,1.7,146.6,36.5,313.0,8.0
754,16.87,53,7.4,7.5,135.2,36.5,330.0,7.7
755,16.96,53,2.8,2.8,143.1,36.1,322.0,8.1
755,16.77,54,5.3,5.4,137.4,36.7,306.0,8.2
755,16.42,54,11.0,11.1,150.3,34.4,309.0,8.4
755,16.58,54,4.8,4.9,161.7,33.1,318.0,8.7
755,16.64,54,9.1,9.3,138.5,35.6,314.0,7.9
755,16.46,54,5.6,5.7,146.3,35.0,316.0,8.2
755,16.32,54,1.8,1.8,152.1,34.7,316.0,8.3
755,16.41,53,1.9,1.9,145.8,35.5,310.0,8.1
755,16.52,54,9.6,10.8,152.7,35.8,312.0,8.4
755,16.80,52,3.5,3.7,134.5,37.5,318.0,7.8
755,16.38,53,1.8,1.9,139.2,37.4,320.0,8.0
755,16.59,52,1.4,1.5,137.2,36.9,315.0,7.8
755,16.18,53,0.5,0.6,128.9,38.9,306.0,7.5
755,16.03,54,0.3,0.3,128.3,37.8,312.0,7.6
755,15.88,54,0.6,0.6,134.6,37.5,275.0,7.7
755,15.83,54,1.1,1.1,131.8,37.3,319.0,7.7
755,15.82,55,0.3,0.3,129.6,36.9,312.0,7.5
755,15.76,55,0.6,0.6,126.8,38.3,298.0,7.5
755,15.91,55,0.7,0.7,125.5,37.8,308.0,7.4
754,15.89,54,1.0,1.1,124.8,38.6,314.0,7.4
754,15.82,54,0.1,0.1,125.8,38.6,305.0,7.4
754,15.66,54,0.2,0.2,125.5,38.4,298.0,7.4
754,15.89,54,0.1,0.1,124.6,38.5,298.0,7.4
754,15.38,56,0.1,0.1,125.4,38.4,306.0,7.4
754,15.48,56,0.2,0.2,127.5,39.0,291.0,7.2
754,15.82,55,0.1,0.1,124.0,38.5,303.0,7.4
754,16.13,54,0.2,0.2,124.6,38.2,297.0,7.4
754,15.65,55,0.2,0.2,126.9,39.2,293.0,7.2
754,15.64,56,0.5,0.5,124.4,37.8,302.0,7.4
754,15.66,55,0.5,0.5,124.7,38.2,312.0,7.4
754,15.47,56,0.8,0.8,124.6,37.9,308.0,7.3
754,15.58,56,0.1,0.1,125.9,38.7,299.0,7.4
754,15.83,55,2.9,2.9,127.4,38.2,310.0,7.5
754,15.75,55,0.7,0.7,125.7,37.9,301.0,7.3
754,15.49,56,0.4,0.4,127.5,37.6,310.0,7.5
754,15.32,58,0.5,0.5,136.0,35.8,297.0,7.7
754,15.46,56,1.0,1.0,127.6,37.9,299.0,7.5
754,15.30,60,1.7,1.7,129.8,35.8,314.0,7.5
754,15.19,60,3.9,3.9,134.7,35.8,296.0,7.7
754,15.34,60,1.1,1.1,133.6,35.3,293.0,7.7
754,15.38,59,3.0,3.0,132.9,35.9,301.0,7.7
754,15.62,56,3.3,3.3,139.4,36.3,307.0,7.9
754,16.05,54,5.0,5.0,143.3,35.8,308.0,8.1
754,16.46,54,3.4,3.4,146.4,34.8,315.0,8.2
755,16.91,53,4.0,4.0,149.9,34.8,321.0,8.3
755,17.65,52,94.0,94.5,170.2,32.8,309.0,8.9
755,19.31,49,3.9,3.9,149.5,34.7,324.0,8.3
755,19.16,49,10.6,10.6,197.5,30.2,349.0,9.7
